kab_code,balita,lansia,pertanian,merokok,no_access_food,hunian_tak_layak,persen_desa_laut,persen_kel_sungai,persen_disabilitas
1507,9.150612959719789,3.852889667250438,24.91243432574431,21.409807355516637,8.01963993453355,0.9819967266775778,2.24,5.41,0.36
1508,8.415841584158414,3.671617161716171,31.023102310231028,22.81353135313531,6.666666666666667,1.5151515151515151,0,3.64,0.55
1509,8.75972165370446,4.297994269340974,24.682767089643882,22.103970528039294,8.054711246200608,1.5197568389057752,0,2.66,0.46
1571,9.104312569111684,4.386288241798746,2.617029119056395,16.107629929966823,6.997084548104955,0.1457725947521866,0,0.64,0.15
1572,7.055050774986639,6.680919294494922,13.468733297701762,22.34099412079102,7.575757575757576,4.3560606060606055,0,0.27,0.52
1601,8.406374501992032,4.621513944223107,24.382470119521912,24.820717131474105,17.27272727272727,1.818181818181818,0,1.27,0.45
1602,7.899461400359066,5.098743267504488,29.73070017953321,23.949730700179533,20.15404364569962,6.033376123234917,3.98,6.78,0.36
1603,9.14572864321608,4.388609715242882,28.676716917922946,23.41708542713568,7.179487179487179,2.8205128205128207,0,0.55,0.58
1604,7.954986418315871,4.928211098176174,28.3663174233605,26.30966239813737,11.874105865522171,3.5765379113018603,0,0.41,0.72
1605,7.774936061381074,4.9104859335038356,37.69820971867008,28.184143222506396,8.289241622574956,1.4109347442680775,0,1.19,0.44
1606,8.018154311649017,4.425113464447807,28.517397881996978,21.709531013615734,11.706629055007053,4.372355430183356,0,3.73,0.32
1607,8.788282290279627,3.395472703062582,26.498002663115845,24.73368841544607,7.179487179487179,6.153846153846154,3.93,6.81,0.32
1608,8.72549019607843,4.019607843137255,42.69607843137255,28.72549019607843,7.894736842105264,11.228070175438596,0,2.26,0.57
1609,8.573625528642829,5.613225682429835,31.64167627835448,23.5678585159554,11.830985915492958,0.8450704225352111,0,0.63,0.36
1610,8.707643814026794,4.649330181245075,23.52245862884161,23.20724980299448,12.89833080424886,7.435508345978755,0,7.86,0.52
1611,8.454957221942628,5.234021137393055,39.90941117262204,28.18319073980875,19.08256880733945,10.825688073394495,0,1.85,0.81
1612,9.975550122249388,3.8141809290953543,37.31051344743276,22.836185819070906,9.461966604823749,1.1131725417439702,0,2.63,0.63
1613,9.197154471544716,3.2520325203252036,29.065040650406505,25.25406504065041,20.925925925925924,1.4814814814814816,0,1.92,0.45
1671,7.458321146534075,4.972214097689383,0.8482012284293653,15.70634688505411,5.244338498212158,0.3575685339690107,0,1.25,0.1
1672,10.323203087313072,3.5214664737095993,12.493970091654608,18.861553304389773,14.867256637168142,0.7079646017699115,0,0.42,0.23
1673,8.810126582278482,4.962025316455696,23.49367088607595,27.49367088607595,4.029304029304029,1.465201465201465,0,0.97,0.35
1674,7.70625566636446,4.0797824116047146,9.292837715321848,21.622846781504983,9.171075837742505,1.234567901234568,0,0.64,0.27
