idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3218;JAWA BARAT;PANGANDARAN ;19.76;0.33;0.02;45.9587051435619;44.38661323724847
3271;JAWA BARAT;BOGOR KOTA;17.88;0.86;0.22;51.4979772086458;46.841803144245745
3272;JAWA BARAT;SUKABUMI KOTA;36.07;0.26;0.05;48.5016952389032;51.45933861087077
3273;JAWA BARAT;BANDUNG KOTA;18.22;1.97;0.09;57.254268117538;51.71380568554153
3274;JAWA BARAT;CIREBON KOTA;32.03;0.86;0.02;56.6097640908969;52.36653791128545
3275;JAWA BARAT;BEKASI KOTA;17.81;2.86;0.13;57.0716953751491;55.88826589473315
3277;JAWA BARAT;CIMAHI KOTA;22.54;1.95;0.23;54.520336837726;54.10480326332049
3278;JAWA BARAT;TASIKMALAYA KOTA;20.35;0.87;0.11;46.7232979593583;47.55510335797587
3279;JAWA BARAT;BANJAR KOTA;28.08;0.05;0.03;50.0299558058881;46.820987067988575
3301;JAWA TENGAH;CILACAP ;18.91;0.23;0.1;41.516925810026;43.85302965759334
3302;JAWA TENGAH;BANYUMAS ;19.34;0.13;0.02;46.9983175325202;43.25552579485601
3303;JAWA TENGAH;PURBALINGGA ;17.15;0.25;0.08;42.3220736756168;43.08194963280659
3304;JAWA TENGAH;BANJARNEGARA ;19.57;0.08;0.01;39.4605933005426;43.082637956870244
3305;JAWA TENGAH;KEBUMEN ;17.26;0.29;0.07;44.3133470063359;43.2800565421161
3306;JAWA TENGAH;PURWOREJO ;19.45;0.43;0.02;43.250852107112;44.71993303311689
3307;JAWA TENGAH;WONOSOBO ;16.52;0.32;0.03;40.3034456106531;42.9322252258907
3308;JAWA TENGAH;MAGELANG ;15.69;0.41;0.02;42.3953469489405;42.946423222783764
3309;JAWA TENGAH;BOYOLALI ;20.24;0.25;0.07;43.1397398694895;44.42217387518457
3310;JAWA TENGAH;KLATEN ;14.31;0.41;0.07;48.0085528538184;42.528745528898384
3311;JAWA TENGAH;SUKOHARJO ;16.87;0.52;0.03;47.8197916399629;44.03205175525826
3312;JAWA TENGAH;WONOGIRI ;19.57;0.09;0.01;43.8011409489249;43.1298140550824
3313;JAWA TENGAH;KARANGANYAR ;18.19;0.21;0.04;46.5918895522702;43.198805988872095
3314;JAWA TENGAH;SRAGEN ;21.5;0.25;0.02;43.4657301014766;44.78626143245585
3315;JAWA TENGAH;GROBOGAN ;16.04;0.27;0.1;43.9499785652871;42.76003661642113
3316;JAWA TENGAH;BLORA ;15.77;0.22;0.16;41.3213216351514;42.641908970590876
