idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3204;JAWA BARAT;BANDUNG ;19.24;0.65;0.09;44.3733338477593;28.56591
3205;JAWA BARAT;GARUT ;15.73;0.34;0.05;38.4991117949059;28.56591
3206;JAWA BARAT;TASIKMALAYA ;12.75;0.03;0.0;38.8100605215208;28.56591
3208;JAWA BARAT;KUNINGAN ;16.85;0.06;0.03;44.4289409365597;28.56591
3209;JAWA BARAT;CIREBON ;22.31;0.54;0.05;42.9612155991647;28.56591
3210;JAWA BARAT;MAJALENGKA ;26.76;0.13;0.04;43.8122947661136;28.56591
3211;JAWA BARAT;SUMEDANG ;16.85;0.18;0.01;44.1023713925043;28.56591
3212;JAWA BARAT;INDRAMAYU ;19.63;0.64;0.1;42.7900849507113;28.56591
3213;JAWA BARAT;SUBANG ;13.61;0.39;0.04;43.3449406703138;28.56591
3214;JAWA BARAT;PURWAKARTA ;14.64;0.09;0.12;39.5649757568739;28.56591
3215;JAWA BARAT;KARAWANG ;15.99;0.57;0.14;43.5996324597493;28.56591
3216;JAWA BARAT;BEKASI ;14.57;1.47;0.15;47.2025986388466;29.9935
3217;JAWA BARAT;BANDUNG BARAT ;11.28;0.97;0.07;39.4266126808804;29.9935
3218;JAWA BARAT;PANGANDARAN ;19.76;0.33;0.02;45.9587051435619;28.56591
3271;JAWA BARAT;BOGOR KOTA;17.88;0.86;0.22;51.4979772086458;29.9935
3272;JAWA BARAT;SUKABUMI KOTA;36.07;0.26;0.05;48.5016952389032;28.56591
3273;JAWA BARAT;BANDUNG KOTA;18.22;1.97;0.09;57.254268117538;29.9935
3274;JAWA BARAT;CIREBON KOTA;32.03;0.86;0.02;56.6097640908969;29.9935
3275;JAWA BARAT;BEKASI KOTA;17.81;2.86;0.13;57.0716953751491;29.9935
3277;JAWA BARAT;CIMAHI KOTA;22.54;1.95;0.23;54.520336837726;29.9935
3278;JAWA BARAT;TASIKMALAYA KOTA;20.35;0.87;0.11;46.7232979593583;29.9935
3279;JAWA BARAT;BANJAR KOTA;28.08;0.05;0.03;50.0299558058881;28.56591
3301;JAWA TENGAH;CILACAP ;18.91;0.23;0.1;41.516925810026;28.56591
3302;JAWA TENGAH;BANYUMAS ;19.34;0.13;0.02;46.9983175325202;28.56591
3303;JAWA TENGAH;PURBALINGGA ;17.15;0.25;0.08;42.3220736756168;28.56591
3304;JAWA TENGAH;BANJARNEGARA ;19.57;0.08;0.01;39.4605933005426;28.56591
3305;JAWA TENGAH;KEBUMEN ;17.26;0.29;0.07;44.3133470063359;28.56591
3306;JAWA TENGAH;PURWOREJO ;19.45;0.43;0.02;43.250852107112;28.56591
3307;JAWA TENGAH;WONOSOBO ;16.52;0.32;0.03;40.3034456106531;28.56591
3308;JAWA TENGAH;MAGELANG ;15.69;0.41;0.02;42.3953469489405;28.56591
3309;JAWA TENGAH;BOYOLALI ;20.24;0.25;0.07;43.1397398694895;28.56591
3310;JAWA TENGAH;KLATEN ;14.31;0.41;0.07;48.0085528538184;28.56591
3311;JAWA TENGAH;SUKOHARJO ;16.87;0.52;0.03;47.8197916399629;28.56591
3312;JAWA TENGAH;WONOGIRI ;19.57;0.09;0.01;43.8011409489249;28.56591
3313;JAWA TENGAH;KARANGANYAR ;18.19;0.21;0.04;46.5918895522702;28.56591
3314;JAWA TENGAH;SRAGEN ;21.5;0.25;0.02;43.4657301014766;28.56591
3315;JAWA TENGAH;GROBOGAN ;16.04;0.27;0.1;43.9499785652871;28.56591
3316;JAWA TENGAH;BLORA ;15.77;0.22;0.16;41.3213216351514;28.56591
3317;JAWA TENGAH;REMBANG ;15.7;0.17;0.01;43.6434024189939;28.56591
3318;JAWA TENGAH;PATI ;15.52;0.15;0.0;45.7853871771216;28.56591
3319;JAWA TENGAH;KUDUS ;21.24;0.27;0.01;46.4931912992498;28.56591
3320;JAWA TENGAH;JEPARA ;16.18;0.29;0.14;44.6139474112761;28.56591
3321;JAWA TENGAH;DEMAK ;19.53;0.09;0.07;46.1908035124149;28.56591
3322;JAWA TENGAH;SEMARANG ;20.53;0.44;0.03;46.2469758992183;28.56591
3323;JAWA TENGAH;TEMANGGUNG ;21.69;0.29;0.01;41.2601702959572;28.56591
3324;JAWA TENGAH;KENDAL ;19.29;0.37;0.13;47.6820934973547;28.56591
3325;JAWA TENGAH;BATANG ;16.14;0.16;0.01;41.5888266230992;28.56591
3326;JAWA TENGAH;PEKALONGAN ;23.46;0.17;0.02;43.4007682790322;28.56591
3327;JAWA TENGAH;PEMALANG ;15.0;0.21;0.06;40.745865394616;28.56591
3328;JAWA TENGAH;TEGAL ;19.09;0.49;0.17;40.4690318165232;28.56591
3329;JAWA TENGAH;BREBES ;16.79;0.19;0.1;41.1915095277185;28.56591
3371;JAWA TENGAH;MAGELANG KOTA;30.36;1.06;0.13;60.0934994855793;29.9935
3373;JAWA TENGAH;SALATIGA KOTA;27.3;0.18;0.15;55.0124860532213;28.56591
3374;JAWA TENGAH;SEMARANG KOTA;16.3;1.78;0.2;54.1196165740219;29.9935
3375;JAWA TENGAH;PEKALONGAN KOTA;22.18;0.93;0.18;47.886910514374;29.9935
3376;JAWA TENGAH;TEGAL KOTA;25.45;2.17;0.09;48.9590968065702;29.9935
3401;DI YOGYAKARTA;KULON PROGO ;20.26;0.26;0.05;48.2647646979857;28.56591
3402;DI YOGYAKARTA;BANTUL ;18.65;0.61;0.26;50.584839780664;28.56591
3403;DI YOGYAKARTA;GUNUNG KIDUL ;15.96;0.23;0.07;43.9319482716697;28.56591
3404;DI YOGYAKARTA;SLEMAN ;15.48;0.51;0.1;54.0159325311577;28.56591
3471;DI YOGYAKARTA;YOGYAKARTA KOTA;20.91;0.87;0.06;62.242112622301;29.9935
3501;JAWA TIMUR;PACITAN ;18.43;0.41;0.03;42.299277164753;28.56591
3502;JAWA TIMUR;PONOROGO ;15.53;0.15;0.06;44.8177588279686;28.56591
3503;JAWA TIMUR;TRENGGALEK ;18.28;0.19;0.06;42.0635389872519;28.56591
3504;JAWA TIMUR;TULUNGAGUNG ;24.08;0.11;0.07;45.2090355198241;28.56591
3505;JAWA TIMUR;BLITAR ;17.84;0.2;0.06;44.1489527349471;28.56591
3506;JAWA TIMUR;KEDIRI ;19.87;0.33;0.11;44.2526533931087;28.56591
3507;JAWA TIMUR;MALANG ;16.8;0.24;0.07;42.0597153406029;28.56591
3508;JAWA TIMUR;LUMAJANG ;18.02;0.37;0.03;41.3038193272401;28.56591
3509;JAWA TIMUR;JEMBER ;16.87;0.28;0.04;40.0461457656555;28.56591
3510;JAWA TIMUR;BANYUWANGI ;16.77;0.41;0.12;46.3505230161162;28.56591
3511;JAWA TIMUR;BONDOWOSO ;19.65;0.14;0.04;38.5864002178777;28.56591
