idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3523;JAWA TIMUR;TUBAN ;16.41;0.31;0.14;43.4440733676762;42.786916752780975
3524;JAWA TIMUR;LAMONGAN ;18.82;0.13;0.07;46.6624939104539;42.71576095576511
3525;JAWA TIMUR;GRESIK ;15.06;0.32;0.07;46.9870280524544;43.20530342609845
3526;JAWA TIMUR;BANGKALAN ;17.6;0.22;0.06;35.8534807286836;43.17268514493063
3527;JAWA TIMUR;SAMPANG ;16.54;0.25;0.03;33.1172440820269;42.84250727759366
3528;JAWA TIMUR;PAMEKASAN ;15.23;0.2;0.09;38.6541577478181;42.84164797089671
3529;JAWA TIMUR;SUMENEP ;16.45;0.09;0.08;36.9471640204071;42.10448866807492
3571;JAWA TIMUR;KEDIRI KOTA;25.19;1.0;0.06;55.1176519304198;51.37767448463325
3572;JAWA TIMUR;BLITAR KOTA;29.76;1.36;0.15;59.4320766708168;55.562148138186494
3573;JAWA TIMUR;MALANG KOTA;14.44;1.14;0.04;55.9610477393423;49.59874015233742
3574;JAWA TIMUR;PROBOLINGGO KOTA;24.2;0.65;0.08;48.8623567556478;47.07005283349938
3575;JAWA TIMUR;PASURUAN KOTA;19.82;1.39;0.15;48.1382895001684;51.21008276060346
3576;JAWA TIMUR;MOJOKERTO KOTA;24.12;0.46;0.05;54.6355795051326;45.22625490323207
3577;JAWA TIMUR;MADIUN KOTA;20.24;0.69;0.16;57.4479253726536;48.33832276172938
3579;JAWA TIMUR;BATU KOTA;9.5;0.68;0.11;49.9517747712948;45.56578898800092
3601;BANTEN;PANDEGLANG ;14.05;0.07;0.05;33.4380850434393;41.29564257614185
3602;BANTEN;LEBAK ;16.8;0.25;0.11;34.6552298826981;42.613650229677454
3603;BANTEN;TANGERANG ;19.64;0.89;0.14;43.155368524313;48.91152232019539
3604;BANTEN;SERANG ;16.1;0.91;0.15;36.0995382210882;48.59236017070759
3671;BANTEN;TANGERANG KOTA;15.73;2.6;0.25;51.3794633045164;53.384175983228516
3672;BANTEN;CILEGON KOTA;16.07;0.7;0.31;49.7351581424193;48.68419625014982
3673;BANTEN;SERANG KOTA;9.2;1.9;0.09;41.9288275114742;49.514409786336195
3674;BANTEN;TANGERANG SELATAN KOTA;18.21;4.59;0.16;53.1882799990445;53.02715011175056
5101;BALI;JEMBRANA ;17.25;0.37;0.02;51.078854438416;43.638570363682284
5102;BALI;TABANAN ;21.74;0.47;0.02;53.8909701596574;44.28023984618306
5103;BALI;BADUNG ;17.5;1.45;0.07;60.4773135323633;51.83570703183182
5104;BALI;GIANYAR ;23.94;0.16;0.05;55.9314118221992;44.37918523278866
5105;BALI;KLUNGKUNG ;27.01;0.77;0.03;49.6945255657021;51.363009173660025
5106;BALI;BANGLI ;27.91;0.34;0.01;46.7560166086428;47.49090596105241
5107;BALI;KARANGASEM ;18.33;0.66;0.03;45.7546902317437;46.77715309167274
5108;BALI;BULELENG ;19.94;0.71;0.03;46.5982809772206;48.78315848087892
5201;NUSA TENGGARA BARAT;LOMBOK BARAT ;19.44;0.45;0.11;41.8071492480854;43.53387519232168
5202;NUSA TENGGARA BARAT;LOMBOK TENGAH ;13.32;0.15;0.03;38.6427021109909;41.365245150794536
5203;NUSA TENGGARA BARAT;LOMBOK TIMUR ;19.18;0.21;0.01;41.5452527860124;43.434539870563135
5204;NUSA TENGGARA BARAT;SUMBAWA ;23.74;0.36;0.15;46.3365265943504;44.863717490757054
5205;NUSA TENGGARA BARAT;DOMPU ;16.73;0.27;0.03;45.7949889806467;43.02666240014111
