idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3204;JAWA BARAT;BANDUNG ;0.17;19.24;0.19;0.65;0.09;44.3733338477593;45.983054396163894
3205;JAWA BARAT;GARUT ;0.3;15.73;0.3;0.34;0.05;38.4991117949059;42.53418581188049
3206;JAWA BARAT;TASIKMALAYA ;0.11;12.75;0.08;0.03;0.0;38.8100605215208;39.937889602959025
3208;JAWA BARAT;KUNINGAN ;0.11;16.85;0.19;0.06;0.03;44.4289409365597;41.86631583019895
3209;JAWA BARAT;CIREBON ;0.12;22.31;0.04;0.54;0.05;42.9612155991647;46.866219777360925
3210;JAWA BARAT;MAJALENGKA ;0.08;26.76;0.08;0.13;0.04;43.8122947661136;46.81263875725138
3211;JAWA BARAT;SUMEDANG ;0.1;16.85;0.19;0.18;0.01;44.1023713925043;42.304575235637294
3212;JAWA BARAT;INDRAMAYU ;0.07;19.63;0.35;0.64;0.1;42.7900849507113;45.918095135817865
3213;JAWA BARAT;SUBANG ;0.1;13.61;0.04;0.39;0.04;43.3449406703138;42.291465889029865
3214;JAWA BARAT;PURWAKARTA ;0.46;14.64;0.05;0.09;0.12;39.5649757568739;41.706395265418244
3215;JAWA BARAT;KARAWANG ;0.23;15.99;0.23;0.57;0.14;43.5996324597493;44.39259895039166
3216;JAWA BARAT;BEKASI ;0.36;14.57;0.08;1.47;0.15;47.2025986388466;48.2086425723039
3217;JAWA BARAT;BANDUNG BARAT ;0.19;11.28;0.1;0.97;0.07;39.4266126808804;43.991437604963096
3218;JAWA BARAT;PANGANDARAN ;0.29;19.76;0.5;0.33;0.02;45.9587051435619;43.73423136099081
3271;JAWA BARAT;BOGOR KOTA;0.1;17.88;0.01;0.86;0.22;51.4979772086458;47.467950953401136
3272;JAWA BARAT;SUKABUMI KOTA;0.09;36.07;0.08;0.26;0.05;48.5016952389032;51.56651529553088
3273;JAWA BARAT;BANDUNG KOTA;0.56;18.22;0.1;1.97;0.09;57.254268117538;51.66984614160931
3274;JAWA BARAT;CIREBON KOTA;0.19;32.03;0.13;0.86;0.02;56.6097640908969;52.263101803002115
3275;JAWA BARAT;BEKASI KOTA;0.13;17.81;0.03;2.86;0.13;57.0716953751491;56.09632661218217
3277;JAWA BARAT;CIMAHI KOTA;0.25;22.54;0.06;1.95;0.23;54.520336837726;54.479725201040225
3278;JAWA BARAT;TASIKMALAYA KOTA;0.15;20.35;0.05;0.87;0.11;46.7232979593583;47.85931195447987
3279;JAWA BARAT;BANJAR KOTA;0.21;28.08;0.1;0.05;0.03;50.0299558058881;46.88875783238191
3301;JAWA TENGAH;CILACAP ;0.18;18.91;0.37;0.23;0.1;41.516925810026;43.63773152748233
3302;JAWA TENGAH;BANYUMAS ;0.32;19.34;0.16;0.13;0.02;46.9983175325202;43.213292523980435
3303;JAWA TENGAH;PURBALINGGA ;0.05;17.15;0.31;0.25;0.08;42.3220736756168;42.98215433974004
3304;JAWA TENGAH;BANJARNEGARA ;0.3;19.57;0.06;0.08;0.01;39.4605933005426;43.20572237873248
3305;JAWA TENGAH;KEBUMEN ;0.21;17.26;0.46;0.29;0.07;44.3133470063359;42.84258816916869
3306;JAWA TENGAH;PURWOREJO ;0.24;19.45;0.11;0.43;0.02;43.250852107112;44.76040125276036
3307;JAWA TENGAH;WONOSOBO ;0.46;16.52;0.12;0.32;0.03;40.3034456106531;42.93665661884607
3308;JAWA TENGAH;MAGELANG ;0.08;15.69;0.04;0.41;0.02;42.3953469489405;43.18608777908224
3309;JAWA TENGAH;BOYOLALI ;0.17;20.24;0.17;0.25;0.07;43.1397398694895;44.490896459153625
3310;JAWA TENGAH;KLATEN ;0.09;14.31;0.16;0.41;0.07;48.0085528538184;42.66310915680151
3311;JAWA TENGAH;SUKOHARJO ;0.05;16.87;0.29;0.52;0.03;47.8197916399629;43.84335861983431
3312;JAWA TENGAH;WONOGIRI ;0.02;19.57;0.24;0.09;0.01;43.8011409489249;43.02266437406106
3313;JAWA TENGAH;KARANGANYAR ;0.13;18.19;0.06;0.21;0.04;46.5918895522702;43.430757685417106
3314;JAWA TENGAH;SRAGEN ;0.6;21.5;0.13;0.25;0.02;43.4657301014766;44.68396785216281
3315;JAWA TENGAH;GROBOGAN ;0.19;16.04;0.35;0.27;0.1;43.9499785652871;42.5916624799478
3316;JAWA TENGAH;BLORA ;0.03;15.77;0.13;0.22;0.16;41.3213216351514;43.03573569424026
3317;JAWA TENGAH;REMBANG ;0.12;15.7;0.19;0.17;0.01;43.6434024189939;41.74612480389937
3318;JAWA TENGAH;PATI ;0.03;15.52;0.36;0.15;0.0;45.7853871771216;41.24421151869872
3319;JAWA TENGAH;KUDUS ;0.08;21.24;0.18;0.27;0.01;46.4931912992498;44.67591772958915
3320;JAWA TENGAH;JEPARA ;0.03;16.18;0.08;0.29;0.14;44.6139474112761;43.50812417805378
3321;JAWA TENGAH;DEMAK ;0.49;19.53;0.2;0.09;0.07;46.1908035124149;43.2872196422629
3322;JAWA TENGAH;SEMARANG ;0.12;20.53;0.28;0.44;0.03;46.2469758992183;45.08011241261484
3323;JAWA TENGAH;TEMANGGUNG ;0.14;21.69;0.02;0.29;0.01;41.2601702959572;45.228756160626034
